               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086208,            0.038525,            0.042354,           0.0092343,             0.39562,            0.010952,           0.0022469,            0.068447,            0.021132,            0.042121,           0.0033273,           0.0033273,            0.070055
                   1,              0.0641,            0.042521,            0.040223,            0.056653,             0.32726,            0.043591,            0.012465,            0.055061,            0.019993,            0.041463,           0.0066604,           0.0066604,            0.040054
                   2,            0.054754,            0.038741,            0.039573,             0.17671,              0.4165,             0.15416,            0.059894,            0.047912,            0.018391,            0.041056,           0.0099929,           0.0099929,            0.010054
                   3,             0.04791,            0.036194,            0.038947,             0.32984,             0.39751,             0.24573,             0.11825,            0.041954,            0.016608,            0.040799,           0.0099978,           0.0099978,           0.0099978
                   4,            0.042993,            0.034391,            0.038157,             0.39663,             0.53125,             0.33365,             0.16432,            0.040317,            0.015085,            0.039075,           0.0099978,           0.0099978,           0.0099978
                   5,            0.040315,            0.031788,            0.037072,             0.40288,             0.50723,             0.38215,             0.18224,            0.038001,            0.014698,            0.034167,           0.0099961,           0.0099961,           0.0099961
                   6,            0.039148,            0.032054,            0.034507,             0.39517,              0.6458,             0.45298,             0.22984,            0.036797,             0.01394,             0.03155,           0.0099938,           0.0099938,           0.0099938
                   7,            0.037317,            0.032354,            0.032831,             0.54657,             0.56124,             0.53273,             0.28641,            0.034737,            0.013486,            0.029369,           0.0099911,           0.0099911,           0.0099911
                   8,            0.036232,            0.030083,            0.031797,             0.49396,             0.55404,             0.53272,             0.28906,            0.035032,            0.013749,            0.027471,           0.0099879,           0.0099879,           0.0099879
                   9,            0.035664,            0.030243,            0.029942,             0.65473,             0.55719,             0.61137,             0.32502,            0.034982,            0.013597,            0.023325,           0.0099842,           0.0099842,           0.0099842
                  10,            0.035802,            0.030786,            0.028617,             0.65363,             0.60597,             0.64089,             0.35865,            0.035162,             0.01291,            0.022573,             0.00998,             0.00998,             0.00998
                  11,            0.035134,            0.031318,            0.026946,             0.68238,             0.60859,             0.68749,             0.37034,            0.034034,            0.012596,             0.02157,           0.0099753,           0.0099753,           0.0099753
                  12,            0.034907,            0.030894,            0.026157,             0.71898,             0.63255,             0.70436,             0.40687,            0.032999,            0.012565,            0.019306,           0.0099702,           0.0099702,           0.0099702
                  13,            0.034791,            0.030979,            0.024749,              0.6826,             0.64256,             0.70344,             0.40361,            0.036092,            0.013202,            0.017794,           0.0099645,           0.0099645,           0.0099645
                  14,             0.03443,            0.029942,            0.024767,             0.67022,             0.72027,             0.73222,             0.40231,            0.032633,            0.012368,            0.016998,           0.0099584,           0.0099584,           0.0099584
                  15,            0.033625,            0.030878,            0.024022,             0.80653,             0.64846,               0.734,             0.39673,               0.033,            0.012614,            0.017088,           0.0099517,           0.0099517,           0.0099517
                  16,            0.034041,            0.031632,            0.022973,             0.73523,             0.67765,             0.73957,             0.41002,            0.033246,            0.012987,            0.015274,           0.0099446,           0.0099446,           0.0099446
                  17,            0.034106,              0.0316,            0.022585,             0.70561,             0.71146,             0.71894,             0.37656,            0.033433,              0.0126,            0.014979,            0.009937,            0.009937,            0.009937
                  18,             0.03333,            0.028653,            0.021741,             0.74044,             0.68811,             0.75467,             0.43034,             0.03295,            0.012792,            0.015433,           0.0099289,           0.0099289,           0.0099289
                  19,            0.032904,            0.028965,            0.021575,             0.75643,             0.62827,             0.73251,             0.42232,            0.032052,            0.012632,            0.016211,           0.0099203,           0.0099203,           0.0099203
                  20,            0.032028,            0.030096,            0.020814,              0.7115,             0.73042,             0.77489,             0.45768,            0.030983,            0.012663,            0.014402,           0.0099112,           0.0099112,           0.0099112
                  21,             0.03232,            0.029686,            0.020498,             0.76667,             0.70202,              0.7692,             0.43615,            0.030773,             0.01244,              0.0122,           0.0099017,           0.0099017,           0.0099017
                  22,            0.031911,            0.028871,             0.01956,             0.78982,             0.68939,             0.77139,             0.44923,            0.030953,            0.012384,            0.012963,           0.0098916,           0.0098916,           0.0098916
                  23,            0.031606,            0.028594,            0.019066,             0.77896,             0.68335,             0.76896,             0.44248,            0.031952,            0.012254,            0.011541,           0.0098811,           0.0098811,           0.0098811
                  24,            0.031775,            0.028489,            0.017861,             0.79023,              0.7456,             0.81122,             0.45261,             0.03132,            0.011979,             0.01082,           0.0098701,           0.0098701,           0.0098701
                  25,            0.031882,            0.029295,            0.018328,             0.78102,               0.707,             0.78782,             0.46833,             0.03106,            0.012079,            0.012286,           0.0098586,           0.0098586,           0.0098586
                  26,            0.031437,            0.029045,            0.018375,              0.7418,             0.76572,             0.79743,             0.48327,            0.029773,            0.012031,            0.011302,           0.0098467,           0.0098467,           0.0098467
