               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089224,            0.035753,            0.042215,           0.0044131,             0.17995,           0.0037487,          0.00071754,             0.06534,            0.015397,            0.036712,           0.0033273,           0.0033273,            0.070055
                   1,            0.071346,            0.036174,            0.039673,            0.086152,             0.35301,            0.070829,            0.019784,            0.048422,            0.017034,            0.035369,           0.0066604,           0.0066604,            0.040054
                   2,            0.059703,            0.035834,            0.037807,             0.20204,             0.37992,              0.2066,            0.066903,            0.044793,            0.014735,            0.030714,           0.0099929,           0.0099929,            0.010054
                   3,              0.0531,             0.03296,            0.034422,             0.32342,             0.55294,             0.37541,             0.15696,            0.038879,            0.011729,            0.026812,           0.0099978,           0.0099978,           0.0099978
                   4,            0.047973,            0.031961,            0.032523,             0.46327,             0.43945,             0.44948,             0.21835,            0.039204,            0.010601,            0.026448,           0.0099978,           0.0099978,           0.0099978
                   5,            0.045671,            0.029908,            0.031382,             0.56164,             0.49408,             0.51936,             0.25701,            0.035075,            0.010547,            0.023853,           0.0099961,           0.0099961,           0.0099961
                   6,            0.044526,            0.030249,            0.030233,             0.52379,             0.60499,             0.59238,             0.30318,            0.034189,           0.0098471,             0.02001,           0.0099938,           0.0099938,           0.0099938
                   7,            0.043414,            0.030536,            0.028339,             0.63877,             0.55622,             0.62381,             0.29887,            0.034683,           0.0094888,            0.020081,           0.0099911,           0.0099911,           0.0099911
                   8,            0.042093,            0.029252,            0.027424,             0.62742,             0.64072,             0.66712,             0.35497,            0.032098,           0.0098067,            0.017743,           0.0099879,           0.0099879,           0.0099879
                   9,            0.041107,            0.028036,             0.02658,             0.61245,             0.57135,             0.63457,             0.33116,            0.033502,           0.0095424,            0.016784,           0.0099842,           0.0099842,           0.0099842
                  10,            0.041583,             0.02894,            0.026159,             0.58434,             0.68131,             0.66651,             0.34389,            0.033291,           0.0093056,            0.018847,             0.00998,             0.00998,             0.00998
                  11,            0.040263,            0.028727,            0.024852,             0.61933,             0.64814,              0.6669,             0.35874,            0.032151,           0.0091228,            0.016137,           0.0099753,           0.0099753,           0.0099753
                  12,            0.040122,            0.029115,            0.025202,               0.762,             0.67678,             0.75496,             0.42655,            0.029859,           0.0090006,            0.013529,           0.0099702,           0.0099702,           0.0099702
