               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09689,            0.029928,            0.042153,              0.3139,              0.4093,             0.29088,             0.12033,            0.053669,            0.010013,             0.03301,           0.0033273,           0.0033273,            0.070055
                   1,            0.065376,            0.027894,            0.035336,             0.40798,             0.53403,             0.43964,             0.16875,            0.051565,           0.0093831,            0.026144,           0.0066602,           0.0066602,            0.040054
                   2,            0.065059,             0.02855,             0.03266,             0.36443,             0.48341,             0.36244,              0.1351,            0.065914,           0.0081571,            0.024437,           0.0099917,           0.0099917,            0.010052
                   3,             0.05982,            0.027373,            0.031651,              0.4472,             0.56801,             0.49879,             0.23072,            0.044936,           0.0094121,            0.022514,            0.009995,            0.009995,            0.009995
                   4,             0.05551,             0.02785,            0.029246,             0.58702,             0.56205,             0.58302,             0.28708,            0.042174,           0.0087651,            0.021144,            0.009995,            0.009995,            0.009995
                   5,            0.052142,            0.026556,            0.028462,             0.65293,             0.58387,             0.63415,             0.34945,            0.039694,            0.008736,            0.018558,           0.0099911,           0.0099911,           0.0099911
                   6,            0.050503,            0.026963,            0.027636,             0.61421,             0.64407,              0.6634,             0.39003,            0.037717,           0.0085771,            0.016511,           0.0099861,           0.0099861,           0.0099861
                   7,            0.049365,             0.02743,            0.025411,             0.70982,             0.63253,             0.71019,             0.38161,            0.037367,            0.008242,            0.015023,             0.00998,             0.00998,             0.00998
                   8,            0.046913,            0.026522,            0.025152,              0.7307,             0.61094,             0.69227,             0.39699,            0.038408,           0.0082053,            0.014621,           0.0099728,           0.0099728,           0.0099728
                   9,            0.046055,            0.025613,            0.023549,             0.79494,             0.60223,             0.71172,             0.38068,             0.03774,           0.0082367,            0.014618,           0.0099645,           0.0099645,           0.0099645
                  10,            0.047022,             0.02642,             0.02368,             0.66084,              0.6784,             0.69998,             0.37585,            0.037221,           0.0082544,            0.014713,           0.0099551,           0.0099551,           0.0099551
                  11,            0.044335,            0.026112,            0.022488,             0.74973,             0.64424,             0.73592,             0.41145,            0.035504,           0.0083954,             0.01288,           0.0099446,           0.0099446,           0.0099446
                  12,            0.044555,            0.026591,            0.023266,             0.77482,             0.65487,             0.75041,             0.44097,            0.034504,           0.0080031,            0.012674,            0.009933,            0.009933,            0.009933
                  13,            0.043752,            0.026102,            0.021274,             0.75969,             0.69743,             0.77393,              0.4356,            0.034485,            0.008018,            0.010501,           0.0099203,           0.0099203,           0.0099203
                  14,            0.044085,            0.025599,            0.022067,             0.76857,             0.66715,             0.77008,             0.45698,            0.034821,           0.0080559,            0.011302,           0.0099065,           0.0099065,           0.0099065
                  15,            0.043055,            0.025893,            0.021494,             0.73346,             0.63404,             0.71812,             0.41856,            0.036271,           0.0083611,            0.013455,           0.0098916,           0.0098916,           0.0098916
                  16,            0.043896,            0.027649,             0.02116,             0.76405,             0.70717,             0.78128,             0.44915,            0.034121,           0.0080731,            0.010003,           0.0098757,           0.0098757,           0.0098757
                  17,            0.043139,            0.027315,            0.020484,             0.79367,              0.6812,             0.79464,             0.48245,            0.032039,           0.0079647,           0.0088617,           0.0098586,           0.0098586,           0.0098586
                  18,            0.041211,            0.024395,            0.020703,             0.83706,             0.70095,             0.80989,             0.49794,            0.032189,           0.0079162,           0.0096251,           0.0098405,           0.0098405,           0.0098405
