               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088295,            0.037697,            0.018431,           0.0061495,             0.18795,           0.0052051,          0.00089014,            0.075881,             0.02009,            0.016169,           0.0016636,           0.0016636,            0.068391
                   1,             0.07074,            0.041858,            0.012822,             0.11633,             0.19181,            0.058756,            0.013203,            0.058453,            0.021986,            0.011888,           0.0033302,           0.0033302,            0.036724
                   2,            0.057464,             0.04101,            0.010747,             0.14676,             0.29663,             0.10844,            0.040429,            0.050233,            0.018612,            0.011162,           0.0049964,           0.0049964,           0.0050571
                   3,            0.048251,            0.037524,            0.010315,             0.15297,             0.35756,              0.1386,            0.054946,            0.046469,            0.016871,            0.011014,           0.0049988,           0.0049988,           0.0049988
                   4,             0.04335,            0.035297,            0.010165,             0.29957,             0.45111,             0.27254,             0.14452,            0.036993,            0.015741,            0.010478,           0.0049988,           0.0049988,           0.0049988
                   5,            0.039832,            0.032173,            0.010214,             0.26451,             0.57131,             0.29503,             0.16454,            0.034169,            0.014743,            0.010265,           0.0049978,           0.0049978,           0.0049978
                   6,            0.037956,            0.032285,            0.010077,             0.30132,             0.52169,             0.32532,              0.1899,            0.033181,            0.013914,            0.010245,           0.0049966,           0.0049966,           0.0049966
                   7,            0.036413,            0.032368,            0.010034,             0.32687,             0.45276,             0.30922,             0.18876,             0.03408,            0.013967,            0.010377,           0.0049951,           0.0049951,           0.0049951
                   8,            0.034555,            0.029912,            0.010046,             0.31651,             0.52404,             0.30732,             0.18221,            0.031172,            0.013361,            0.010208,           0.0049934,           0.0049934,           0.0049934
                   9,            0.033835,            0.029708,           0.0099563,             0.32661,             0.46409,             0.32545,             0.19406,            0.031439,            0.013283,            0.010028,           0.0049913,           0.0049913,           0.0049913
                  10,            0.033197,            0.030209,            0.009854,             0.36847,             0.53354,             0.34399,             0.21244,            0.029903,            0.013052,            0.010021,            0.004989,            0.004989,            0.004989
                  11,            0.032286,            0.030417,           0.0097738,             0.35471,             0.58087,             0.34574,             0.21357,            0.029507,             0.01236,           0.0099686,           0.0049864,           0.0049864,           0.0049864
                  12,            0.032327,            0.029973,           0.0098173,             0.36187,             0.58304,             0.37031,             0.22958,            0.029879,            0.012136,           0.0098774,           0.0049836,           0.0049836,           0.0049836
                  13,            0.030838,            0.029743,           0.0096106,             0.31204,             0.59324,             0.37307,             0.23673,            0.029309,            0.012657,           0.0097551,           0.0049805,           0.0049805,           0.0049805
                  14,            0.030845,            0.028601,           0.0096203,             0.36478,             0.57468,             0.38084,             0.22466,             0.03091,            0.012082,           0.0094907,           0.0049771,           0.0049771,           0.0049771
                  15,            0.030729,            0.029274,           0.0093744,             0.38464,             0.60084,             0.42348,             0.26479,            0.029094,            0.011744,           0.0092133,           0.0049734,           0.0049734,           0.0049734
                  16,            0.030292,            0.029826,           0.0093118,              0.4253,             0.55996,             0.42114,             0.25867,            0.028534,            0.012146,            0.009122,           0.0049695,           0.0049695,           0.0049695
                  17,            0.030443,            0.029673,           0.0091886,             0.46571,             0.51256,             0.42793,              0.2686,            0.028593,             0.01188,            0.008675,           0.0049653,           0.0049653,           0.0049653
                  18,            0.029471,            0.027182,           0.0089829,             0.48929,             0.48613,             0.42859,             0.26068,            0.028643,            0.012322,           0.0083529,           0.0049609,           0.0049609,           0.0049609
                  19,            0.029422,            0.027394,           0.0087956,             0.50989,             0.53281,             0.46759,             0.27651,            0.029704,            0.012001,           0.0079664,           0.0049562,           0.0049562,           0.0049562
                  20,            0.029018,             0.02833,           0.0086347,             0.45969,             0.61859,             0.46899,             0.29012,            0.027355,            0.011609,           0.0079227,           0.0049512,           0.0049512,           0.0049512
                  21,            0.028871,            0.028146,           0.0084508,             0.50267,             0.59172,             0.51462,             0.31924,            0.027427,            0.011388,           0.0077373,           0.0049459,           0.0049459,           0.0049459
                  22,            0.028249,            0.027126,           0.0083518,             0.50368,             0.60652,             0.50621,             0.30998,            0.027396,            0.011496,            0.007533,           0.0049404,           0.0049404,           0.0049404
                  23,            0.028395,            0.026889,           0.0082001,             0.48221,             0.69834,             0.53331,             0.33672,            0.027224,            0.011373,           0.0072924,           0.0049346,           0.0049346,           0.0049346
                  24,            0.028113,            0.027004,           0.0080879,               0.508,             0.61884,             0.55044,             0.34291,            0.028725,            0.011651,           0.0072681,           0.0049286,           0.0049286,           0.0049286
                  25,            0.028465,            0.027625,           0.0080835,             0.53628,             0.65871,             0.56615,             0.34834,            0.027425,            0.011584,           0.0073006,           0.0049222,           0.0049222,           0.0049222
                  26,            0.027891,            0.027296,           0.0079869,             0.54714,             0.64514,             0.56431,              0.3501,            0.027453,            0.011247,           0.0071439,           0.0049157,           0.0049157,           0.0049157
                  27,            0.027785,            0.027357,           0.0078819,             0.58263,             0.58953,             0.56974,             0.36753,            0.026719,            0.011143,           0.0069466,           0.0049088,           0.0049088,           0.0049088
                  28,            0.027423,            0.028018,           0.0078299,             0.59227,             0.60306,             0.57297,             0.36749,            0.027078,            0.011155,           0.0066203,           0.0049017,           0.0049017,           0.0049017
