               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081171,             0.03564,            0.018781,              0.2617,             0.38418,             0.22201,            0.085622,            0.043241,            0.011705,            0.010375,           0.0016636,           0.0016636,            0.068391
                   1,              0.0523,            0.031203,            0.010443,             0.30877,              0.4894,              0.3234,             0.15805,            0.036886,           0.0095465,           0.0079244,           0.0033302,           0.0033302,            0.036724
                   2,            0.049553,            0.029913,           0.0092055,             0.45741,             0.54415,             0.45006,             0.24192,            0.032384,           0.0095235,           0.0068398,           0.0049964,           0.0049964,           0.0050571
                   3,            0.042769,            0.027684,           0.0084618,             0.55016,             0.50433,             0.52124,             0.28738,            0.031489,           0.0089764,           0.0061253,           0.0049988,           0.0049988,           0.0049988
                   4,            0.039505,            0.027769,           0.0077168,             0.66302,             0.57317,             0.64827,             0.40313,            0.028303,           0.0083264,           0.0051886,           0.0049988,           0.0049988,           0.0049988
                   5,            0.037479,            0.025972,            0.007119,             0.80117,             0.53914,             0.68066,             0.41419,            0.026814,           0.0081334,           0.0045088,           0.0049978,           0.0049978,           0.0049978
                   6,            0.036078,            0.026393,           0.0069492,             0.69793,             0.70256,             0.72077,             0.43105,            0.028013,           0.0081531,           0.0040184,           0.0049966,           0.0049966,           0.0049966
                   7,            0.035575,            0.026967,           0.0063509,              0.6898,             0.76269,             0.77756,             0.46639,            0.026045,           0.0078368,           0.0037066,           0.0049951,           0.0049951,           0.0049951
                   8,            0.034142,            0.025507,           0.0062093,             0.83718,             0.74581,             0.83004,             0.52031,            0.026344,           0.0079186,           0.0033133,           0.0049934,           0.0049934,           0.0049934
                   9,            0.033609,             0.02503,           0.0057647,             0.75133,             0.75688,             0.81031,              0.5079,            0.026399,           0.0079513,           0.0033785,           0.0049913,           0.0049913,           0.0049913
                  10,            0.034131,            0.025394,           0.0056768,             0.77308,             0.73153,             0.80604,              0.5035,             0.02615,           0.0079349,            0.003021,            0.004989,            0.004989,            0.004989
                  11,            0.032757,            0.025186,           0.0054095,             0.83015,              0.7119,             0.79784,             0.51062,            0.026399,             0.00784,           0.0033835,           0.0049864,           0.0049864,           0.0049864
                  12,            0.032526,            0.025512,           0.0054179,              0.8353,              0.7713,             0.84257,             0.53579,            0.025653,           0.0075913,           0.0023929,           0.0049836,           0.0049836,           0.0049836
                  13,            0.032718,            0.025066,           0.0050593,             0.79775,             0.74733,             0.81842,             0.52396,            0.024583,           0.0075422,           0.0029701,           0.0049805,           0.0049805,           0.0049805
                  14,            0.032238,            0.024475,           0.0051361,             0.80823,             0.77451,             0.85399,             0.54041,            0.025268,           0.0078595,           0.0022789,           0.0049771,           0.0049771,           0.0049771
                  15,            0.031951,            0.024775,           0.0050585,             0.80323,             0.77743,             0.84376,             0.52666,            0.025996,           0.0077009,           0.0028238,           0.0049734,           0.0049734,           0.0049734
                  16,            0.032308,            0.026416,           0.0051248,             0.83176,             0.74787,             0.84423,             0.54536,            0.025001,           0.0076195,           0.0023398,           0.0049695,           0.0049695,           0.0049695
                  17,            0.031857,            0.026226,            0.004814,               0.784,             0.78042,             0.84479,             0.55315,            0.024173,           0.0076165,           0.0023728,           0.0049653,           0.0049653,           0.0049653
                  18,            0.030637,            0.023287,            0.004894,             0.84279,               0.783,             0.84938,             0.54101,            0.024299,           0.0075159,           0.0022243,           0.0049609,           0.0049609,           0.0049609
                  19,            0.030697,            0.023752,           0.0047931,             0.79476,             0.76082,             0.84989,             0.54192,            0.025128,           0.0078389,           0.0023545,           0.0049562,           0.0049562,           0.0049562
                  20,            0.030545,            0.024698,           0.0046929,             0.80699,             0.83071,             0.87359,             0.56488,            0.023839,           0.0074338,           0.0019477,           0.0049512,           0.0049512,           0.0049512
                  21,            0.030747,            0.024778,           0.0045072,             0.86889,             0.75295,             0.86148,             0.55886,            0.023676,           0.0075574,           0.0019996,           0.0049459,           0.0049459,           0.0049459
                  22,            0.030938,            0.025418,           0.0043059,             0.79489,             0.79043,             0.85073,             0.55226,            0.024905,           0.0078064,           0.0018893,           0.0049404,           0.0049404,           0.0049404
                  23,            0.029848,            0.023583,           0.0041891,             0.89201,              0.7636,             0.87509,             0.56324,            0.024329,           0.0075905,           0.0015367,           0.0049346,           0.0049346,           0.0049346
                  24,             0.02987,            0.023612,            0.004347,             0.80646,             0.81437,             0.86283,              0.5569,            0.025053,           0.0078669,           0.0019033,           0.0049286,           0.0049286,           0.0049286
                  25,            0.029563,            0.024198,           0.0043457,             0.82005,             0.77301,             0.84727,             0.53586,            0.025142,            0.007552,           0.0022691,           0.0049222,           0.0049222,           0.0049222
                  26,            0.029925,            0.024291,           0.0042715,              0.9133,             0.79513,             0.88906,             0.57279,            0.023906,            0.007385,           0.0015053,           0.0049157,           0.0049157,           0.0049157
                  27,            0.029397,            0.023859,           0.0040439,             0.87931,             0.79617,              0.8747,             0.56432,            0.024354,           0.0075674,           0.0013072,           0.0049088,           0.0049088,           0.0049088
                  28,            0.029825,            0.024773,           0.0042191,              0.8466,             0.78471,             0.86703,             0.55834,            0.024174,           0.0075317,           0.0019214,           0.0049017,           0.0049017,           0.0049017
                  29,            0.029772,            0.023391,           0.0039224,              0.8176,             0.80758,             0.85401,             0.57375,            0.024134,           0.0074922,           0.0022752,           0.0048944,           0.0048944,           0.0048944
                  30,            0.029071,            0.022593,           0.0037684,             0.83024,             0.79307,             0.85588,             0.55789,            0.024572,           0.0075807,           0.0023066,           0.0048867,           0.0048867,           0.0048867
                  31,            0.028965,            0.022273,           0.0040025,             0.89467,             0.78267,             0.88393,             0.58824,            0.023417,            0.007271,           0.0017913,           0.0048789,           0.0048789,           0.0048789
                  32,             0.02856,            0.022964,           0.0038988,             0.84435,             0.81658,             0.87342,             0.57794,            0.023883,           0.0072896,           0.0016657,           0.0048707,           0.0048707,           0.0048707
                  33,            0.028893,            0.022691,           0.0037905,             0.87655,             0.77693,             0.86231,             0.56846,            0.024231,           0.0074006,           0.0016427,           0.0048623,           0.0048623,           0.0048623
