               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092948,            0.033388,            0.043255,           0.0094941,            0.014706,           0.0036703,          0.00073704,            0.075136,            0.031213,            0.044722,           0.0033273,           0.0033273,            0.070055
                   1,            0.085285,            0.034275,            0.041156,            0.011676,            0.025879,           0.0043294,          0.00087625,            0.070584,            0.016076,            0.038158,           0.0066604,           0.0066604,            0.040054
                   2,            0.076686,            0.036427,            0.039758,            0.033215,             0.46469,            0.031465,           0.0067362,            0.061442,            0.018699,            0.036405,           0.0099929,           0.0099929,            0.010054
                   3,            0.066865,            0.037691,             0.03945,             0.28912,             0.16998,             0.12016,            0.042977,            0.051258,            0.015285,            0.035712,           0.0099978,           0.0099978,           0.0099978
                   4,            0.060423,            0.036082,            0.038455,             0.13252,             0.28882,             0.11498,            0.038369,            0.053496,            0.013892,            0.036566,           0.0099978,           0.0099978,           0.0099978
                   5,            0.056164,            0.033138,             0.03759,             0.26052,             0.35581,             0.21725,            0.086332,            0.046037,            0.013127,            0.032517,           0.0099961,           0.0099961,           0.0099961
                   6,            0.054042,             0.03344,            0.036551,             0.16142,             0.40897,              0.1234,             0.03986,            0.046059,            0.012411,            0.031371,           0.0099938,           0.0099938,           0.0099938
                   7,            0.053225,            0.032772,            0.036022,             0.27477,             0.44362,             0.26819,             0.10575,            0.043729,             0.01198,            0.031377,           0.0099911,           0.0099911,           0.0099911
                   8,             0.05197,            0.032737,            0.035178,             0.26571,             0.48235,             0.25926,             0.10516,            0.043643,            0.010928,            0.029207,           0.0099879,           0.0099879,           0.0099879
                   9,            0.049614,            0.032328,            0.033972,             0.34181,             0.38555,             0.28587,             0.12898,            0.041371,            0.010903,            0.029628,           0.0099842,           0.0099842,           0.0099842
                  10,            0.047951,            0.031841,            0.033364,             0.39109,             0.59225,             0.42017,             0.19896,            0.038795,            0.010543,            0.028798,             0.00998,             0.00998,             0.00998
                  11,            0.047798,            0.032485,              0.0331,               0.203,             0.50278,             0.25336,            0.097671,            0.042775,            0.011874,            0.027958,           0.0099753,           0.0099753,           0.0099753
                  12,            0.046111,            0.030799,            0.032165,             0.40099,              0.5553,             0.45957,                0.22,            0.037646,             0.00996,            0.026223,           0.0099702,           0.0099702,           0.0099702
                  13,            0.045439,            0.030687,            0.031261,             0.35767,             0.52377,             0.33887,             0.15881,            0.037811,            0.010098,            0.024433,           0.0099645,           0.0099645,           0.0099645
                  14,            0.045608,            0.031874,            0.030977,             0.51606,             0.57177,             0.52875,             0.24558,            0.037926,           0.0097311,            0.023477,           0.0099584,           0.0099584,           0.0099584
                  15,            0.044099,            0.030053,            0.030733,             0.48465,             0.53526,             0.51544,             0.24696,            0.037615,           0.0098013,             0.02376,           0.0099517,           0.0099517,           0.0099517
                  16,            0.043933,            0.031067,            0.029848,             0.50715,             0.56483,             0.53404,             0.25947,            0.037965,           0.0096608,            0.023331,           0.0099446,           0.0099446,           0.0099446
                  17,             0.04384,            0.030328,            0.029837,             0.53373,             0.55281,             0.55197,             0.27067,            0.036182,           0.0094773,            0.024081,            0.009937,            0.009937,            0.009937
                  18,            0.042529,            0.028509,            0.028407,             0.58277,             0.51591,               0.529,             0.26184,            0.036683,           0.0092965,            0.024089,           0.0099289,           0.0099289,           0.0099289
